Index       TIME          V(VCO_OUT_P)      V(VCO_OUT_N)         I(VDD)      
179      3.33654803e-11    9.15301348e-01    1.43662730e+00   -2.05019289e-02
180      3.40498461e-11    1.06522585e+00    1.48927402e+00   -2.02034205e-02
181      3.47342120e-11    1.20942755e+00    1.53355039e+00   -1.88081057e-02
182      3.53501412e-11    1.32704030e+00    1.55964262e+00   -1.67137925e-02
183      3.59044776e-11    1.41928476e+00    1.56645830e+00   -1.42773799e-02
184      3.61008781e-11    1.44797443e+00    1.56242712e+00   -1.32947307e-02
185      3.61785922e-11    1.45923848e+00    1.56017649e+00   -1.29001629e-02
186      3.62563063e-11    1.47067067e+00    1.55739443e+00   -1.25028401e-02
187      3.63340204e-11    1.48282970e+00    1.55312816e+00   -1.21002483e-02
188      3.64013960e-11    1.49407284e+00    1.54800008e+00   -1.17473463e-02
189      3.64610257e-11    1.50427744e+00    1.54260153e+00   -1.14323471e-02
190      3.65206553e-11    1.51457142e+00    1.53661400e+00   -1.11151210e-02
191      3.66399147e-11    1.53520701e+00    1.52321090e+00   -1.04750288e-02
192      3.67591741e-11    1.55571766e+00    1.50813750e+00   -9.82874403e-03
193      3.68784335e-11    1.57588696e+00    1.49161725e+00   -9.17801819e-03
194      3.69976929e-11    1.59555036e+00    1.47380233e+00   -8.52460533e-03
195      3.71169523e-11    1.61465797e+00    1.45475119e+00   -7.87026139e-03
196      3.72362117e-11    1.63329766e+00    1.43439577e+00   -7.21672844e-03
197      3.73554711e-11    1.65166735e+00    1.41256025e+00   -6.56572808e-03
198      3.74747305e-11    1.67001158e+00    1.38901009e+00   -5.91896619e-03
199      3.75939899e-11    1.68855839e+00    1.36351556e+00   -5.27814461e-03
200      3.77132492e-11    1.70745953e+00    1.33591277e+00   -4.64497195e-03
201      3.78325086e-11    1.72676945e+00    1.30613269e+00   -4.02116986e-03
202      3.79517680e-11    1.74642772e+00    1.27422876e+00   -3.40847053e-03
203      3.80710274e-11    1.76601068e+00    1.24064354e+00   -2.80860035e-03
204      3.81902868e-11    1.78462071e+00    1.20628458e+00   -2.22327159e-03
205      3.83095462e-11    1.80147430e+00    1.17192683e+00   -1.65419588e-03
206      3.84288056e-11    1.81623408e+00    1.13796555e+00   -1.10306072e-03
207      3.85480650e-11    1.82876656e+00    1.10463823e+00   -5.71474490e-04
208      3.87865838e-11    1.84704085e+00    1.04037773e+00    4.26417090e-04
209      3.90251025e-11    1.85640461e+00    9.79646769e-01    1.32914220e-03
210      3.92636213e-11    1.85706720e+00    9.22852191e-01    2.12678299e-03
211      3.95021401e-11    1.84923111e+00    8.70413922e-01    2.81063239e-03
212      3.97406589e-11    1.83335622e+00    8.22532597e-01    3.37323745e-03
213      3.99791777e-11    1.81029333e+00    7.79066899e-01    3.80848442e-03
214      4.02176964e-11    1.78114621e+00    7.39656660e-01    4.11168002e-03
215      4.04562152e-11    1.74710188e+00    7.03887346e-01    4.27961298e-03
216      4.06947340e-11    1.70932407e+00    6.71391497e-01    4.31060556e-03
217      4.09332528e-11    1.66889647e+00    6.41882933e-01    4.20453799e-03
218      4.11717716e-11    1.62679933e+00    6.15164125e-01    3.96283525e-03
219      4.16488091e-11    1.54129320e+00    5.69748106e-01    3.08892740e-03
220      4.21258467e-11    1.45808856e+00    5.35151886e-01    1.72874816e-03
221      4.26028842e-11    1.38154606e+00    5.12092657e-01   -5.64687852e-05
222      4.30799218e-11    1.31479556e+00    5.01722652e-01   -2.18719041e-03
223      4.35092556e-11    1.26479124e+00    5.04266362e-01   -4.32404843e-03
224      4.39385894e-11    1.22521355e+00    5.18942734e-01   -6.58823194e-03
225      4.43679232e-11    1.19631028e+00    5.46336968e-01   -8.89888619e-03
226      4.47543236e-11    1.17931328e+00    5.82018839e-01   -1.09512752e-02
227      4.51407241e-11    1.17059122e+00    6.27858359e-01   -1.29152952e-02
228      4.55271245e-11    1.16978166e+00    6.83144325e-01   -1.47342664e-02
229      4.59135249e-11    1.17635875e+00    7.46831422e-01   -1.63556973e-02
230      4.62999253e-11    1.18957244e+00    8.17638723e-01   -1.77328010e-02
231      4.66863257e-11    1.20843562e+00    8.94118762e-01   -1.88258620e-02
232      4.70727262e-11    1.23174466e+00    9.74709697e-01   -1.96033999e-02
233      4.74591266e-11    1.25810818e+00    1.05778644e+00   -2.00430903e-02
234      4.78455270e-11    1.28597036e+00    1.14172493e+00   -2.01324218e-02
235      4.86183279e-11    1.33808754e+00    1.30581236e+00   -1.92722210e-02
236      4.88578441e-11    1.35063310e+00    1.35428161e+00   -1.86735978e-02
237      4.90973604e-11    1.36121471e+00    1.40279171e+00   -1.80169687e-02
238      4.91714777e-11    1.36304476e+00    1.41821606e+00   -1.77853457e-02
239      4.91949345e-11    1.36345644e+00    1.42323251e+00   -1.77109975e-02
240      4.92160456e-11    1.36365025e+00    1.42789308e+00   -1.76432440e-02
241      4.92350456e-11    1.36367657e+00    1.43220181e+00   -1.75815908e-02
242      4.92540456e-11    1.36362862e+00    1.43656591e+00   -1.75196015e-02
243      4.92920456e-11    1.36312487e+00    1.44556945e+00   -1.73936269e-02
244      4.93300457e-11    1.36216164e+00    1.45484147e+00   -1.72650346e-02
245      4.93680457e-11    1.36084711e+00    1.46428413e+00   -1.71338824e-02
246      4.94060457e-11    1.35926302e+00    1.47383703e+00   -1.70002233e-02
247      4.94820458e-11    1.35548286e+00    1.49314024e+00   -1.67255881e-02
248      4.95580458e-11    1.35100541e+00    1.51263352e+00   -1.64414407e-02
249      4.96340459e-11    1.34588002e+00    1.53229074e+00   -1.61480899e-02
250      4.97100459e-11    1.34008420e+00    1.55212788e+00   -1.58458393e-02
251      4.98620460e-11    1.32630794e+00    1.59244290e+00   -1.52160587e-02
252      5.00140462e-11    1.30940396e+00    1.63373330e+00   -1.45545541e-02
253      5.01660463e-11    1.28913808e+00    1.67611504e+00   -1.38640809e-02
254      5.03180464e-11    1.26539550e+00    1.71957604e+00   -1.31475470e-02
255      5.04700465e-11    1.23832885e+00    1.76381538e+00   -1.24080318e-02
256      5.06220466e-11    1.20928312e+00    1.80735815e+00   -1.16487878e-02
257      5.07441263e-11    1.18577529e+00    1.84043401e+00   -1.10269563e-02
258      5.08662061e-11    1.16269797e+00    1.87113408e+00   -1.03965238e-02
259      5.09882858e-11    1.14027701e+00    1.89926287e+00   -9.75942165e-03
260      5.11103656e-11    1.11862466e+00    1.92472499e+00   -9.11755759e-03
261      5.13545251e-11    1.07782257e+00    1.96749892e+00   -7.82804409e-03
262      5.15986846e-11    1.04064845e+00    1.99916591e+00   -6.54206817e-03
263      5.18428441e-11    1.00746751e+00    2.01943247e+00   -5.27452581e-03
264      5.20870036e-11    9.78244812e-01    2.02845596e+00   -4.04011868e-03
265      5.23311631e-11    9.52416171e-01    2.02701378e+00   -2.85321262e-03
266      5.25753226e-11    9.29171535e-01    2.01624652e+00   -1.72762933e-03
267      5.28194820e-11    9.07712668e-01    1.99740889e+00   -6.76403006e-04
268      5.30636415e-11    8.87346001e-01    1.97172432e+00    2.88419143e-04
269      5.33078010e-11    8.67507626e-01    1.94031644e+00    1.15588020e-03
270      5.35519605e-11    8.47784503e-01    1.90419151e+00    1.91617694e-03
271      5.37961200e-11    8.27915828e-01    1.86424450e+00    2.56073433e-03
272      5.40402795e-11    8.07781329e-01    1.82127506e+00    3.08229176e-03
273      5.45285985e-11    7.66904341e-01    1.72937419e+00    3.73338694e-03
274      5.55052365e-11    6.88916882e-01    1.53855619e+00    3.42819399e-03
275      5.56690675e-11    6.77193551e-01    1.50701044e+00    3.13840640e-03
276      5.59967296e-11    6.55244168e-01    1.44516253e+00    2.44630173e-03
277      5.63243917e-11    6.36733369e-01    1.38618973e+00    1.53761659e-03
278      5.66520538e-11    6.22548337e-01    1.33080774e+00    4.31460488e-04
279      5.69797159e-11    6.13535710e-01    1.27960719e+00   -8.48974525e-04
280      5.73073780e-11    6.10443384e-01    1.23307904e+00   -2.27690267e-03
281      5.76350401e-11    6.13856629e-01    1.19166036e+00   -3.82250166e-03
282      5.79627022e-11    6.24145208e-01    1.15576587e+00   -5.45352288e-03
283      5.82903643e-11    6.41460934e-01    1.12577626e+00   -7.13594918e-03
284      5.86180264e-11    6.65771207e-01    1.10198728e+00   -8.83469492e-03
285      5.89456885e-11    6.96896413e-01    1.08456515e+00   -1.05143391e-02
286      5.92733506e-11    7.34531696e-01    1.07352359e+00   -1.21398696e-02
287      5.96010127e-11    7.78259770e-01    1.06871950e+00   -1.36774178e-02
288      5.99286748e-11    8.27560352e-01    1.06985522e+00   -1.50949662e-02
289      6.02563369e-11    8.81822324e-01    1.07648449e+00   -1.63630152e-02
290      6.05839989e-11    9.40360088e-01    1.08801723e+00   -1.74551988e-02
291      6.09116610e-11    1.00243830e+00    1.10372134e+00   -1.83488340e-02
292      6.12393231e-11    1.06731095e+00    1.12271553e+00   -1.90253943e-02
293      6.15669852e-11    1.13430686e+00    1.14391780e+00   -1.94708924e-02
294      6.18946473e-11    1.20309796e+00    1.16580074e+00   -1.96761870e-02
295      6.20983035e-11    1.24742031e+00    1.17804782e+00   -1.96336727e-02
296      6.21544312e-11    1.25981157e+00    1.18122175e+00   -1.96147948e-02
297      6.22105589e-11    1.27237446e+00    1.18421447e+00   -1.95923386e-02
298      6.22191926e-11    1.27434714e+00    1.18463253e+00   -1.95881647e-02
299      6.22278264e-11    1.27632860e+00    1.18504193e+00   -1.95839062e-02
300      6.22450938e-11    1.28035831e+00    1.18579601e+00   -1.95748815e-02
301      6.22623612e-11    1.28450088e+00    1.18644009e+00   -1.95651796e-02
302      6.22796286e-11    1.28876999e+00    1.18695420e+00   -1.95548003e-02
303      6.22968960e-11    1.29315707e+00    1.18733612e+00   -1.95437451e-02
304      6.23141634e-11    1.29764592e+00    1.18759402e+00   -1.95320165e-02
305      6.23486983e-11    1.30686477e+00    1.18779377e+00   -1.95065544e-02
306      6.23832331e-11    1.31633675e+00    1.18764652e+00   -1.94784394e-02
307      6.24177679e-11    1.32599104e+00    1.18723838e+00   -1.94476959e-02
308      6.24523028e-11    1.33578034e+00    1.18663346e+00   -1.94143439e-02
309      6.25213724e-11    1.35565894e+00    1.18499245e+00   -1.93398774e-02
310      6.25904421e-11    1.37588257e+00    1.18287200e+00   -1.92551238e-02
311      6.26595117e-11    1.39643539e+00    1.18030944e+00   -1.91601532e-02
312      6.27285814e-11    1.41733462e+00    1.17728185e+00   -1.90550311e-02
313      6.28667207e-11    1.46025464e+00    1.16967321e+00   -1.88146775e-02
314      6.30048600e-11    1.50473658e+00    1.15981890e+00   -1.85347284e-02
315      6.31429994e-11    1.55079783e+00    1.14756186e+00   -1.82160369e-02
316      6.32811387e-11    1.59833984e+00    1.13285514e+00   -1.78596178e-02
317      6.34192780e-11    1.64704816e+00    1.11585057e+00   -1.74666603e-02
318      6.35574173e-11    1.69570759e+00    1.09761756e+00   -1.70385281e-02
319      6.36713240e-11    1.73458588e+00    1.08271084e+00   -1.66601051e-02
320      6.37852306e-11    1.77168732e+00    1.06842864e+00   -1.62598388e-02
321      6.38991372e-11    1.80680026e+00    1.05495539e+00   -1.58388176e-02
322      6.41269505e-11    1.87063466e+00    1.03073065e+00   -1.49395892e-02
323      6.43547638e-11    1.92560993e+00    1.01026891e+00   -1.39711549e-02
324      6.45825770e-11    1.97122379e+00    9.93770195e-01   -1.29433129e-02
325      6.48103903e-11    2.00705326e+00    9.81341890e-01   -1.18664386e-02
326      6.50382036e-11    2.03314178e+00    9.72657591e-01   -1.07514658e-02
327      6.52660168e-11    2.05001913e+00    9.66981153e-01   -9.60978556e-03
328      6.54938301e-11    2.05848338e+00    9.63440379e-01   -8.45305061e-03
329      6.57216434e-11    2.05941458e+00    9.61187772e-01   -7.29295254e-03
330      6.59494566e-11    2.05366379e+00    9.59443866e-01   -6.14108571e-03
331      6.61772699e-11    2.04200128e+00    9.57527755e-01   -5.00889422e-03
332      6.64050832e-11    2.02510756e+00    9.54887533e-01   -3.90761863e-03
333      6.66328964e-11    2.00358060e+00    9.51105094e-01   -2.84821152e-03
334      6.68607097e-11    1.97795100e+00    9.45889095e-01   -1.84123414e-03
335      6.70885229e-11    1.94869500e+00    9.39059638e-01   -8.96747666e-04
336      6.73163362e-11    1.91624775e+00    9.30534894e-01   -2.42067275e-05
337      6.75441495e-11    1.88101241e+00    9.20316341e-01    7.67641738e-04
338      6.77719627e-11    1.84336884e+00    9.08477535e-01    1.47085192e-03
339      6.82275893e-11    1.76246129e+00    8.80642638e-01    2.58181561e-03
340      6.86832158e-11    1.67608259e+00    8.48605650e-01    3.26860196e-03
341      6.91388423e-11    1.58678454e+00    8.14563334e-01    3.50395194e-03
342      7.00500954e-11    1.40966746e+00    7.52274107e-01    2.61992235e-03
343      7.08474139e-11    1.26559726e+00    7.15861463e-01    4.74352350e-04
344      7.09607921e-11    1.24675147e+00    7.13058789e-01    6.52709218e-05
345      7.10741703e-11    1.22815469e+00    7.10574464e-01   -3.53606157e-04
346      7.13009268e-11    1.19255417e+00    7.07570298e-01   -1.24682810e-03
347      7.15276833e-11    1.15926235e+00    7.07282260e-01   -2.20713329e-03
348      7.17544397e-11    1.12850572e+00    7.09818790e-01   -3.22487102e-03
349      7.19811962e-11    1.10048172e+00    7.15263437e-01   -4.28981819e-03
350      7.22079527e-11    1.07535455e+00    7.23675313e-01   -5.39128305e-03
351      7.24347091e-11    1.05325395e+00    7.35089173e-01   -6.51821344e-03
352      7.26614656e-11    1.03427347e+00    7.49515062e-01   -7.65930805e-03
353      7.28882220e-11    1.01847015e+00    7.66938314e-01   -8.80312992e-03
354      7.31149785e-11    1.00586353e+00    7.87319798e-01   -9.93822093e-03
355      7.33417350e-11    9.96435331e-01    8.10596822e-01   -1.10532164e-02
356      7.35684914e-11    9.90128460e-01    8.36684667e-01   -1.21369587e-02
